studynum,effect.size,var.eff.size,cite,designprob,attritprop,Tx_ITT,incarc_f,convict_f,arrest_f,recid_oth_f,Interval_f,Rrisk,sessions_c,logtxdur_c,ses_x_dur,imp_factor,Emphasis,ART,RR,MRT,Bush,IPSP,drugalc,intercept
1,0.41,0.23,Guerra (1990),2,0.33,1,0,1,0,0,12,1,-1.83,-0.43,0.78,1.36421,3,0,0,0,0,1,0,1
2,1.35,0.5,Leeman (1993),2,0,1,0,1,0,0,12,2,-1.83,0.35,-0.65,-0.30905,2,1,0,0,0,0,0,1
3,1.1,1.03,Kownacki (1995),2,0,1,0,0,1,0,6,2.5,-1.83,-0.96,1.75,0.08828,3,0,1,0,0,0,0,1
4,1.24,0.92,Larson (1989),2,0,1,0,0,1,0,15,3,-1.83,1.23,-2.26,2.39469,3,0,0,0,0,1,0,1
5,0.41,0.14,Finn (1998),2,0.33,1,0,1,0,0,12,1,2.17,-0.08,-0.17,0.1925,2,0,0,1,0,0,0,1
6,1.47,0.36,Goldstein (1989),2,0.23,1,0,0,1,0,6,2.5,-0.83,-0.35,0.29,1.41985,3,1,0,0,0,0,0,1
7,1.96,0.38,Golstein (1989),2,0.35,1,0,0,1,0,8,3,-0.83,-0.08,0.06,1.27605,3,1,0,0,0,0,0,1
8,2.33,0.51,Ross (1988),2,0,1,0,1,0,0,9,3,-0.83,0.09,-0.08,2.22635,3,0,1,0,0,0,0,1
9,-0.22,0.46,Pullen (1996),1,0,1,0,0,1,0,6,1,-0.83,-0.02,0.01,-1.10216,2,0,1,0,0,0,0,1
10,0.88,0.6,Shivrattan (1988),2,0.03,1,0,1,0,0,13,2.5,-1.83,-0.83,1.52,0.99365,3,0,0,0,0,1,0,1
11,0.23,0.02,Robinson (1995),1,0,1,1,0,0,0,12,2,0.17,-0.35,-0.06,-0.68878,3,0,1,0,0,0,0,1
12,0.78,0.06,Robinson 12B,2,0,1,1,0,0,0,12,2,0.17,-0.35,-0.06,-0.50706,3,0,1,0,0,0,0,1
13,0.13,0.05,Hughey (1996),2,0,1,0,0,1,0,12,2,2.17,-1.3,-2.81,-0.71929,1,0,0,0,0,0,1,1
14,0.51,0.02,Friendship (2003),1,0,1,0,1,0,0,12,2,-1.83,0.42,-0.77,-0.58376,3,0,1,0,0,0,0,1
15,0.51,0.02,Little (1993) [demon,3,0,1,1,0,0,0,24,1,-0.83,-0.2,0.16,-0.12901,3,0,0,1,0,0,0,1
16,0.31,0.02,Little (1993) [pract,3,0,1,1,0,0,0,12,1,-0.83,-0.2,0.16,-1.10385,3,0,0,1,0,0,0,1
17,0.58,0.15,Bush (1995),1,0,1,0,0,1,0,12,2,-0.33,1.73,-0.57,-0.57439,2,0,0,0,1,0,0,1
